Customer Name,Email,Product,Category,Price,Purchase Date,Location
Keith Kaiser,karldunlap@gmail.com,Vacuum Cleaner,Home & Kitchen,266.41,2023-04-10,Port Thomasshire
Michael James,farmstrong@jones.com,Car Cover,Automotive,425.3,2021-04-27,Port Samuel
Jeffrey Morgan,ysimmons@alexander-robertson.com,Dairy Products,Grocery,124.38,2023-11-10,New Andrewview
Michelle Kelly,vcooper@gmail.com,Dash Cam,Automotive,186.89,2021-05-03,Frankstad
Anne Brown,richardsonvictoria@andrews-lee.biz,Handbag,Fashion,380.3,2022-07-24,East Robert
Matthew Morrison,rdunn@gmail.com,Wristwatch,Fashion,166.36,2024-03-31,New Lisachester
Tammy Reeves,ghampton@yahoo.com,Electric Toothbrush,Health & Beauty,324.09,2024-09-15,Port John
Jesus Moore,markwright@yahoo.com,Puzzle Game,Toys,374.84,2020-06-18,West Ashley
Lynn Sutton,jenningsmelissa@hotmail.com,Vacuum Cleaner,Home & Kitchen,312.24,2023-11-04,Stevenfort
Tina Smith,danawood@yahoo.com,Yoga Mat,Sports,303.88,2023-05-27,Port Matthew
Sarah Jackson,howellmichelle@ford.biz,Remote Control Car,Toys,473.22,2022-02-18,North Gary
Amber Taylor MD,erica30@johnson.biz,T-shirt,Fashion,387.59,2022-10-13,Tiffanybury
Chad Tyler,schultzjeffrey@snyder.com,Puzzle Game,Toys,175.87,2023-08-08,Mallorytown
Willie Lane,susanlester@sanders-gomez.net,Jeans,Fashion,228.65,2020-09-17,Lake Angela
Kimberly Hernandez,smills@gmail.com,Smartwatch,Electronics,161.98,2020-09-09,North Haleyview
Marissa Sanders,michael28@brown.com,Coffee Maker,Home & Kitchen,153.46,2024-10-11,West Ronaldport
Miguel Jordan,karen87@burnett.net,Blender,Home & Kitchen,255.42,2023-06-07,East Dennishaven
Lori Smith,angelawhitaker@johnson.com,Puzzle Game,Toys,206.6,2021-02-13,Jenniferborough
Ashley Dean,imorgan@hotmail.com,T-shirt,Fashion,414.31,2021-04-14,West Brandonview
Brittany Ramirez,patricia47@williams-wilson.com,Self-help Book,Books,193.55,2020-11-20,South Michelleborough
Angela Nelson,joshua35@hotmail.com,Air Purifier,Home & Kitchen,107.5,2021-06-23,Danaborough
Jason Watson,denisegray@yahoo.com,Handbag,Fashion,184.78,2021-07-07,Knightchester
Melissa Lang,allisongarza@herrera.com,Bluetooth Speaker,Electronics,235.51,2021-11-14,Derricktown
Christopher Johnson,vblanchard@gmail.com,Dollhouse,Toys,344.86,2020-09-03,Gregoryberg
